Hospitals Name,Hospital Address,Pincode,website,City,Category,Founded,Number,Email,Other Email,Other Email.1,Verified_Emails,Secondary_Emails,Other contact,Other contact.1,Other contact.2,Other contact.3, , .1, .2, .3, .4,clean_phone,clean_email
Grace Blood Bank,"36/1, 1st Floor, Munivenkatappa Complex, Dena Bank Colony, Bellary Main Road, Ganga Nagar, near Adayar Anand Bhavan, Bengaluru, Karnataka 560032",560032,,Karnataka, Blood Banks,,097403 30720,aiimsbloodbank@gmail.com,bngu.grace.bb@gmail.com,,,kapoorgarg.cs@gmail.com,,,,,,,,,,,aiimsbloodbank@gmail.com
Jeevaraksha Voluntary Blood Bank,"29-31, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560051",560051,,Karnataka, Blood Banks,,099007 77791,dsbagalkote@gmail.com,,,,cakkminocha@gmail.com,9686230539,9342277697,,,,,,,,,dsbagalkote@gmail.com
Bangalore Medical Services Trust,"New Thippasandra Main Road, HAL 3rd Stage, New Thippasandra, beside Thippasandra Post Office, Bengaluru, Karnataka 560075",560075,http://www.bmstindia.org/,Karnataka, Blood Banks,,080 2528 7903,bbmo@bmstindia.org,ankit@bmstindia.org,jane-d@bmstindia.org,,antimaandgoelca@gmail.com,doejane@bmstindia.org,,,,,,,,,,bbmo@bmstindia.org
Jeevadhara Blood Bank,"Mandahasa No. 1480,, New Sayyaji Rao Road, Mysuru, 570021",570021,,Karnataka, Blood Banks,,0821 244 4936,,,,,anilvaishca@gmail.com,9379042563,,,,,,,,,,
Bangalore Blood Bank,"No. 141, 3rd Floor, Komarla Plaza, 8th Cross, 3rd Main, Margosa Road, Opp. Sudarshan Family Store, Malleswaram, Bengaluru, Karnataka 560003",560003,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,080 2334 7714,bbmo@bmstindia.org,ankit@bmstindia.org,mailinfo.msmc@narayanahealth.org,,roc.rkgovil@gmail.com,9353743508,8296795356,,,,,,,,,bbmo@bmstindia.org
Navarang Blood Bank,"No.108,3rd floor, hongal complex, Dr Rajkumar Rd, near Navarang Circle, 1st Block, Rajajinagar, Bengaluru, Karnataka 560010",560010,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,080 2352 1233,bngu.navaranga.bb@gmail.com,,,,bhavinhinger@gmail.com,9844111233,,,,,,,,,,bngu.navaranga.bb@gmail.com
Dr.Jeevannavars Blood Bank,"Gokul Rd, Sadashiv Nagar, Hubli, Karnataka 580029",580029,,Karnataka, Blood Banks,,0836 227 8320,,,,,nitukhandelwal13@gmail.com,9900233525,9470516651,,,,,,,,,
Jamkhandi Blood Bank,"opp pb high school, near ashok circle",,,Karnataka, Blood Banks,,083532 23577,thejkdbloodbank@gmail.com,,,,monga9977@gmail.com,,,,,,,,,,,thejkdbloodbank@gmail.com
S K Voluntary Blood Bank,"14/1, 1st Floor, Mesa Complex, Old Toll Gate Bus Stop, Magadi Main Road, Bengaluru, Karnataka 560023",560023,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,080 2310 3524,,,,,ramkumarcas@gmail.com,9341273805,,,,,,,,,,
Lions Blood Bank,"2925, Chord Rd, Hampi Nagar 2nd Stage, Nethaji Layout, Vijayanagar, Bengaluru, Karnataka 560040",560040,http://www.lionsbloodbank.org/,Karnataka, Blood Banks,,099011 55344,drmvijayr@lionsbloodbank.org,lionsbloodcentrekundli@gmail.com,info@lionsbloodcentrekundli.com,,yscassociates@gmail.com,+919591916395,9717897506,09717897507,09717897509,09717897520,09717897500,9319982104,9319982105,,,drmvijayr@lionsbloodbank.org
Rotary Shimoga MidTown Blood Bank,"100 Ft Road, Gopala Gowda Rd, near Kottureshwars Hospital, Vinayaka Nagar, Basavanagudi, Shivamogga, Karnataka 577201",577201,,Karnataka, Blood Banks,,081822 74333,,,,,skpat09@gmail.com,8182274333,08182274333,9731702227,,,,,,,,
